target;Year;Number of Killed
Business;1970;5
Business;1971;36
Business;1972;18
Business;1973;12
Business;1974;79
Business;1975;107
Business;1976;90
Business;1977;57
Business;1978;527
Business;1979;465
Government;1970;9
Government;1971;4
Government;1972;8
Government;1973;12
Government;1974;19
Government;1975;25
Government;1976;20
Government;1977;36
Government;1978;99
Government;1979;251
Military;1970;8
Military;1971;63
Military;1972;160
Military;1973;81
Military;1974;63
Military;1975;172
Military;1976;54
Military;1977;50
Military;1978;210
Military;1979;504
Police;1970;20
Police;1971;25
Police;1972;26
Police;1973;31
Police;1974;26
Police;1975;46
Police;1976;117
Police;1977;64
Police;1978;143
Police;1979;270
Private Citizens;1970;24
Private Citizens;1971;10
Private Citizens;1972;180
Private Citizens;1973;120
Private Citizens;1974;197
Private Citizens;1975;128
Private Citizens;1976;156
Private Citizens;1977;85
Private Citizens;1978;85
Private Citizens;1979;450
