group,year,deaths
Anti-Irish Nationalist,1970,3
Anti-Irish Nationalist,1971,17
Anti-Irish Nationalist,1972,55
Anti-Irish Nationalist,1973,44
Anti-Irish Nationalist,1974,90
Anti-Irish Nationalist,1975,73
Anti-Irish Nationalist,1976,70
Anti-Irish Nationalist,1977,19
Anti-Irish Nationalist,1978,8
Anti-Irish Nationalist,1979,10
Anti-Irish Nationalist,1980,10
Anti-Irish Nationalist,1981,10
Anti-Irish Nationalist,1982,9
Anti-Irish Nationalist,1983,2
Anti-Irish Nationalist,1984,4
Anti-Irish Nationalist,1985,4
Anti-Irish Nationalist,1986,9
Anti-Irish Nationalist,1987,12
Anti-Irish Nationalist,1988,14
Anti-Irish Nationalist,1989,10
Anti-Irish Nationalist,1990,11
Anti-Irish Nationalist,1991,10
Anti-Irish Nationalist,1992,26
Anti-Irish Nationalist,1993,0
Anti-Irish Nationalist,1994,34
Anti-Irish Nationalist,1995,1
Anti-Irish Nationalist,1996,2
Anti-Irish Nationalist,1997,12
Anti-Irish Nationalist,1998,3
Anti-Irish Nationalist,1999,1
Anti-Irish Nationalist,2000,4
Basque/Corsican/Catalonia Separatist,1970,0
Basque/Corsican/Catalonia Separatist,1971,0
Basque/Corsican/Catalonia Separatist,1972,1
Basque/Corsican/Catalonia Separatist,1973,3
Basque/Corsican/Catalonia Separatist,1974,19
Basque/Corsican/Catalonia Separatist,1975,13
Basque/Corsican/Catalonia Separatist,1976,13
Basque/Corsican/Catalonia Separatist,1977,14
Basque/Corsican/Catalonia Separatist,1978,68
Basque/Corsican/Catalonia Separatist,1979,81
Basque/Corsican/Catalonia Separatist,1980,102
Basque/Corsican/Catalonia Separatist,1981,26
Basque/Corsican/Catalonia Separatist,1982,39
Basque/Corsican/Catalonia Separatist,1983,37
Basque/Corsican/Catalonia Separatist,1984,42
Basque/Corsican/Catalonia Separatist,1985,43
Basque/Corsican/Catalonia Separatist,1986,53
Basque/Corsican/Catalonia Separatist,1987,58
Basque/Corsican/Catalonia Separatist,1988,24
Basque/Corsican/Catalonia Separatist,1989,23
Basque/Corsican/Catalonia Separatist,1990,19
Basque/Corsican/Catalonia Separatist,1991,42
Basque/Corsican/Catalonia Separatist,1992,25
Basque/Corsican/Catalonia Separatist,1993,0
Basque/Corsican/Catalonia Separatist,1994,16
Basque/Corsican/Catalonia Separatist,1995,16
Basque/Corsican/Catalonia Separatist,1996,6
Basque/Corsican/Catalonia Separatist,1997,6
Basque/Corsican/Catalonia Separatist,1998,7
Basque/Corsican/Catalonia Separatist,1999,0
Basque/Corsican/Catalonia Separatist,2000,26
Far Left,1970,0
Far Left,1971,0
Far Left,1972,9
Far Left,1973,2
Far Left,1974,6
Far Left,1975,23
Far Left,1976,21
Far Left,1977,31
Far Left,1978,32
Far Left,1979,40
Far Left,1980,116
Far Left,1981,27
Far Left,1982,18
Far Left,1983,11
Far Left,1984,11
Far Left,1985,12
Far Left,1986,19
Far Left,1987,6
Far Left,1988,12
Far Left,1989,9
Far Left,1990,7
Far Left,1991,14
Far Left,1992,5
Far Left,1993,0
Far Left,1994,4
Far Left,1995,6
Far Left,1996,0
Far Left,1997,1
Far Left,1998,0
Far Left,1999,3
Far Left,2000,4
Far Right,1970,0
Far Right,1971,1
Far Right,1972,0
Far Right,1973,0
Far Right,1974,23
Far Right,1975,0
Far Right,1976,3
Far Right,1977,21
Far Right,1978,4
Far Right,1979,6
Far Right,1980,23
Far Right,1981,6
Far Right,1982,0
Far Right,1983,0
Far Right,1984,15
Far Right,1985,2
Far Right,1986,4
Far Right,1987,0
Far Right,1988,2
Far Right,1989,1
Far Right,1990,0
Far Right,1991,5
Far Right,1992,13
Far Right,1993,0
Far Right,1994,0
Far Right,1995,7
